,Date,Sell,Buy,BuyMore
0,2020-05-22,,,
1,2020-05-21,,,
2,2020-05-20,,VGI,
3,2020-05-19,,,VGI
4,2020-05-18,,,
5,2020-05-17,,,
6,2020-05-16,,,
7,2020-05-15,VGI,,
8,2020-05-14,VGI,,
9,2020-05-13,,,
10,2020-05-12,,,
11,2020-05-11,,,
12,2020-05-10,,,
13,2020-05-09,,,
14,2020-05-08,,,
15,2020-05-07,,VGI,
16,2020-05-06,,,VGI
17,2020-05-05,VGI,,
18,2020-05-04,VGI,,
19,2020-05-03,,,
20,2020-05-02,,,
21,2020-05-01,,,
22,2020-04-30,,,
23,2020-04-29,VGI,,
24,2020-04-28,VGI,,
25,2020-04-27,,,VGI
26,2020-04-26,,,
27,2020-04-25,,,
28,2020-04-24,,,
29,2020-04-23,VGI,,
30,2020-04-22,VGI,,
31,2020-04-21,VGI,,
32,2020-04-20,,,
33,2020-04-19,,,
34,2020-04-18,,,
35,2020-04-17,,,
36,2020-04-16,,,
37,2020-04-15,,,
38,2020-04-14,,,
39,2020-04-13,VGI,,
40,2020-04-12,,,
41,2020-04-11,,,
42,2020-04-10,VGI,,
43,2020-04-09,,,
44,2020-04-08,,,
45,2020-04-07,,,
46,2020-04-06,,VGI,VGI
47,2020-04-05,,,
48,2020-04-04,,,
49,2020-04-03,,,
50,2020-04-02,,,
51,2020-04-01,,,
52,2020-03-31,,,
53,2020-03-30,VGI,,
54,2020-03-29,,,
55,2020-03-28,,,
56,2020-03-27,,,
57,2020-03-26,,,
58,2020-03-25,,,
59,2020-03-24,,,
60,2020-03-23,,,
61,2020-03-22,,,
62,2020-03-21,,,
63,2020-03-20,,,
64,2020-03-19,,,
65,2020-03-18,,,
66,2020-03-17,,,
67,2020-03-16,,,
68,2020-03-15,,,
69,2020-03-14,,,
70,2020-03-13,,,
71,2020-03-12,,,
72,2020-03-11,,,
73,2020-03-10,,,
74,2020-03-09,,,
75,2020-03-08,,,
76,2020-03-07,,,
77,2020-03-06,,,
78,2020-03-05,,,
79,2020-03-04,,,
80,2020-03-03,,,
81,2020-03-02,,,
82,2020-03-01,,,
83,2020-02-29,,,
84,2020-02-28,,,
85,2020-02-27,,,
86,2020-02-26,,,
87,2020-02-25,,,
88,2020-02-24,VGI,,
89,2020-02-23,,,
90,2020-02-22,,,
91,2020-02-21,,,
92,2020-02-20,,,
93,2020-02-19,,,
94,2020-02-18,,,
95,2020-02-17,,,
96,2020-02-16,,,
97,2020-02-15,,,
98,2020-02-14,,,
99,2020-02-13,,,
100,2020-02-12,,,
101,2020-02-11,,VGI,
102,2020-02-10,VGI,,
103,2020-02-09,,,
104,2020-02-08,,,
105,2020-02-07,,,VGI
106,2020-02-06,,,
107,2020-02-05,,,
108,2020-02-04,,,
109,2020-02-03,VGI,,
110,2020-02-02,,,
111,2020-02-01,,,
112,2020-01-31,VGI,,
113,2020-01-30,,,
114,2020-01-29,,,
115,2020-01-28,,,
116,2020-01-27,,,
117,2020-01-26,,,
118,2020-01-25,,,
119,2020-01-24,,,
120,2020-01-23,,,
121,2020-01-22,,,
122,2020-01-21,VGI,VGI,
123,2020-01-20,VGI,,
124,2020-01-19,,,
125,2020-01-18,,,
126,2020-01-17,VGI,,
127,2020-01-16,,,VGI
128,2020-01-15,,,
129,2020-01-14,,,
130,2020-01-13,,,
131,2020-01-12,,,
132,2020-01-11,,,
133,2020-01-10,,,
134,2020-01-09,,,
135,2020-01-08,,,
136,2020-01-07,VGI,,
137,2020-01-06,VGI,,
138,2020-01-05,,,
139,2020-01-04,,,
140,2020-01-03,VGI,,
141,2020-01-02,,,VGI
142,2020-01-01,,,
